Site	Sample depth	Age	Mg/Ca	Mg/Ca adj.	Taxa	Paleodepth	Reference	
ODP0926	0.350	0.009	1.52	1.70	Oridorsalis umbonatus	3598	LearRosenthalWrightEdit03
ODP0926	0.350	0.009	1.41	1.98	Cibicidoides wuellerstorfi	3598	LearRosenthalWrightEdit03
ODP0806	0.410	0.018	1.34	1.39	Oridorsalis umbonatus	2521	LearRosenthalWright03
ODP0806	0.410	0.018	1.16	1.45	Cibicidoides wuellerstorfi	2521	LearRosenthalWright03
ODP0926	1.160	0.030	1.48	1.66	Oridorsalis umbonatus	3598	LearRosenthalWrightEdit03
ODP0926	1.160	0.030	1.09	1.53	Cibicidoides wuellerstorfi	3598	LearRosenthalWrightEdit03
ODP0806	1.140	0.049	1.21	1.25	Oridorsalis umbonatus	2522	LearRosenthalWright03
ODP0806	1.140	0.049	1.18	1.47	Cibicidoides wuellerstorfi	2522	LearRosenthalWright03
ODP0926	1.910	0.050	1.09	1.53	Cibicidoides wuellerstorfi	3599	LearRosenthalWrightEdit03
ODP0806	1.880	0.081	0.99	1.20	Cibicidoides wuellerstorfi	2522	LearRosenthalWright03
ODP0806	1.880	0.081	1.18	1.23	Oridorsalis umbonatus	2522	LearRosenthalWright03
ODP0926	3.410	0.089	0.95	1.34	Cibicidoides wuellerstorfi	3599	LearRosenthalWrightEdit03
ODP0806	2.680	0.116	1.66	1.71	Oridorsalis umbonatus	2523	LearRosenthalWright03
ODP0806	2.680	0.116	1.07	1.31	Cibicidoides wuellerstorfi	2523	LearRosenthalWright03
ODP0806	3.320	0.143	1.06	1.30	Cibicidoides wuellerstorfi	2523	LearRosenthalWright03
ODP0806	3.320	0.143	1.44	1.48	Oridorsalis umbonatus	2523	LearRosenthalWright03
ODP0926	7.400	0.192	1.01	1.42	Cibicidoides wuellerstorfi	3601	LearRosenthalWrightEdit03
ODP0926	7.400	0.192	1.14	1.32	Oridorsalis umbonatus	3601	LearRosenthalWrightEdit03
ODP0806	4.820	0.208	1.05	1.28	Cibicidoides wuellerstorfi	2524	LearRosenthalWright03
ODP0806	4.820	0.208	1.26	1.31	Oridorsalis umbonatus	2524	LearRosenthalWright03
DSDP573	1.900	0.225	0.86	1.25	Cibicidoides mundulus	4297	LearElderfieldOthers00
DSDP573	1.900	0.225	0.69	1.14	Cibicidoides wuellerstorfi	4297	LearElderfieldOthers00
ODP0806	5.720	0.247	1.27	1.32	Oridorsalis umbonatus	2524	LearRosenthalWright03
ODP0806	5.720	0.247	1.08	1.33	Cibicidoides wuellerstorfi	2524	LearRosenthalWright03
ODP0806	6.200	0.268	1.06	1.30	Cibicidoides wuellerstorfi	2525	LearRosenthalWright03
ODP0806	6.200	0.268	1.33	1.38	Oridorsalis umbonatus	2525	LearRosenthalWright03
ODP0926	10.400	0.273	0.89	1.25	Cibicidoides wuellerstorfi	3602	LearRosenthalWrightEdit03
ODP0926	10.400	0.273	1.06	1.25	Oridorsalis umbonatus	3602	LearRosenthalWrightEdit03
ODP0806	7.000	0.303	1.42	1.47	Oridorsalis umbonatus	2525	LearRosenthalWright03
ODP0806	7.000	0.303	1.28	1.60	Cibicidoides wuellerstorfi	2525	LearRosenthalWright03
ODP0926	12.650	0.346	1.08	1.52	Cibicidoides wuellerstorfi	3603	LearRosenthalWrightEdit03
ODP0926	12.650	0.346	1.27	1.45	Oridorsalis umbonatus	3603	LearRosenthalWrightEdit03
ODP0926	14.900	0.418	0.99	1.40	Cibicidoides wuellerstorfi	3604	LearRosenthalWrightEdit03
ODP0926	14.900	0.418	1.42	1.60	Oridorsalis umbonatus	3604	LearRosenthalWrightEdit03
ODP0926	14.900	0.418			Gyroidina soldanii	3604	LearRosenthalWrightEdit03
ODP0926	15.690	0.444	1.20	1.38	Oridorsalis umbonatus	3604	LearRosenthalWrightEdit03
ODP0926	15.690	0.444			Gyroidina soldanii	3604	LearRosenthalWrightEdit03
ODP0926	15.690	0.444	1.09	1.53	Cibicidoides wuellerstorfi	3604	LearRosenthalWrightEdit03
ODP0806	10.640	0.460	1.19	1.49	Cibicidoides wuellerstorfi	2527	LearRosenthalWright03
ODP0806	10.640	0.460	1.35	1.40	Oridorsalis umbonatus	2527	LearRosenthalWright03
ODP0926	17.940	0.506	1.36	1.55	Oridorsalis umbonatus	3605	LearRosenthalWrightEdit03
ODP0926	17.940	0.506	1.27	1.78	Cibicidoides wuellerstorfi	3605	LearRosenthalWrightEdit03
ODP0926	18.690	0.526	1.04	1.46	Cibicidoides wuellerstorfi	3606	LearRosenthalWrightEdit03
ODP0926	18.690	0.526	1.28	1.46	Oridorsalis umbonatus	3606	LearRosenthalWrightEdit03
ODP0926	20.940	0.585	1.03	1.45	Cibicidoides wuellerstorfi	3606	LearRosenthalWrightEdit03
ODP0926	20.940	0.585	1.23	1.41	Oridorsalis umbonatus	3606	LearRosenthalWrightEdit03
ODP0806	14.400	0.622	1.16	1.45	Cibicidoides wuellerstorfi	2530	LearRosenthalWright03
ODP0806	14.400	0.622	1.49	1.54	Oridorsalis umbonatus	2530	LearRosenthalWright03
ODP0926	23.190	0.645	1.47	1.65	Oridorsalis umbonatus	3607	LearRosenthalWrightEdit03
ODP0926	23.190	0.645	1.14	1.61	Cibicidoides wuellerstorfi	3607	LearRosenthalWrightEdit03
ODP0926	26.680	0.737	0.92	1.29	Cibicidoides wuellerstorfi	3609	LearRosenthalWrightEdit03
ODP0926	26.680	0.737	1.23	1.41	Oridorsalis umbonatus	3609	LearRosenthalWrightEdit03
ODP0806	17.150	0.741	1.24	1.56	Cibicidoides wuellerstorfi	2531	LearRosenthalWright03
ODP0806	17.150	0.741	1.34	1.39	Oridorsalis umbonatus	2531	LearRosenthalWright03
DSDP573	11.470	0.815	0.46	1.49	Nuttallides umbonifera	4288	LearElderfieldOthers00
ODP0806	19.430	0.839	1.52	1.57	Oridorsalis umbonatus	2533	LearRosenthalWright03
ODP0806	19.430	0.839	1.24	1.56	Cibicidoides wuellerstorfi	2533	LearRosenthalWright03
ODP0926	31.180	0.856	0.80	1.13	Cibicidoides wuellerstorfi	3611	LearRosenthalWrightEdit03
ODP0926	31.180	0.856	1.08	1.26	Oridorsalis umbonatus	3611	LearRosenthalWrightEdit03
ODP0926	33.430	0.915	1.03	1.45	Cibicidoides wuellerstorfi	3612	LearRosenthalWrightEdit03
ODP0926	33.430	0.915	1.75	1.94	Oridorsalis umbonatus	3612	LearRosenthalWrightEdit03
ODP0806	21.630	0.932	1.25	1.57	Cibicidoides wuellerstorfi	2534	LearRosenthalWright03
ODP0806	21.630	0.932	1.55	1.60	Oridorsalis umbonatus	2534	LearRosenthalWright03
ODP0926	34.930	0.960	1.48	1.66	Oridorsalis umbonatus	3612	LearRosenthalWrightEdit03
ODP0926	34.930	0.960	1.19	1.68	Cibicidoides wuellerstorfi	3612	LearRosenthalWrightEdit03
ODP0806	23.870	1.030	1.23	1.54	Cibicidoides wuellerstorfi	2536	LearRosenthalWright03
ODP0806	23.870	1.030	1.42	1.47	Oridorsalis umbonatus	2536	LearRosenthalWright03
ODP0926	37.760	1.079	1.20	1.69	Cibicidoides wuellerstorfi	3613	LearRosenthalWrightEdit03
ODP0926	37.760	1.079	1.10	1.54	Cibicidoides wuellerstorfi	3613	LearRosenthalWrightEdit03
ODP0926	37.760	1.079	1.45	1.63	Oridorsalis umbonatus	3613	LearRosenthalWrightEdit03
ODP0926	37.760	1.079	1.21	1.39	Oridorsalis umbonatus	3613	LearRosenthalWrightEdit03
ODP0806	25.930	1.122	1.24	1.55	Cibicidoides wuellerstorfi	2537	LearRosenthalWright03
ODP0806	25.930	1.122	1.37	1.42	Oridorsalis umbonatus	2537	LearRosenthalWright03
ODP0926	40.010	1.174	1.33	1.87	Cibicidoides wuellerstorfi	3614	LearRosenthalWrightEdit03
ODP0926	40.010	1.174	1.25	1.43	Oridorsalis umbonatus	3614	LearRosenthalWrightEdit03
ODP0926	40.010	1.174	1.03	1.46	Cibicidoides wuellerstorfi	3614	LearRosenthalWrightEdit03
ODP0926	40.760	1.205	1.23	1.42	Oridorsalis umbonatus	3614	LearRosenthalWrightEdit03
ODP0926	40.760	1.205	1.04	1.46	Cibicidoides wuellerstorfi	3614	LearRosenthalWrightEdit03
ODP0806	28.190	1.220	1.23	1.54	Cibicidoides wuellerstorfi	2538	LearRosenthalWright03
ODP0806	28.190	1.220	1.33	1.38	Oridorsalis umbonatus	2538	LearRosenthalWright03
ODP0926	43.010	1.300	1.23	1.72	Cibicidoides wuellerstorfi	3614	LearRosenthalWrightEdit03
ODP0926	43.010	1.300	1.33	1.52	Oridorsalis umbonatus	3614	LearRosenthalWrightEdit03
ODP0806	31.230	1.352	1.16	1.44	Cibicidoides wuellerstorfi	2540	LearRosenthalWright03
ODP0806	31.230	1.352	1.49	1.54	Oridorsalis umbonatus	2540	LearRosenthalWright03
DSDP573	20.710	1.383	0.80	1.29	Cibicidoides wuellerstorfi	4279	LearElderfieldOthers00
ODP0926	45.260	1.395	1.18	1.36	Oridorsalis umbonatus	3615	LearRosenthalWrightEdit03
ODP0926	45.260	1.395	1.11	1.56	Cibicidoides wuellerstorfi	3615	LearRosenthalWrightEdit03
ODP0806	33.370	1.445	1.26	1.58	Cibicidoides wuellerstorfi	2541	LearRosenthalWright03
ODP0806	33.370	1.445	1.53	1.58	Oridorsalis umbonatus	2541	LearRosenthalWright03
ODP0926	47.920	1.507	1.15	1.61	Cibicidoides wuellerstorfi	3616	LearRosenthalWrightEdit03
ODP0926	47.920	1.507	1.36	1.54	Oridorsalis umbonatus	3616	LearRosenthalWrightEdit03
ODP0806	35.670	1.546	1.20	1.50	Cibicidoides wuellerstorfi	2543	LearRosenthalWright03
ODP0806	35.670	1.546	1.49	1.54	Oridorsalis umbonatus	2543	LearRosenthalWright03
ODP0926	50.170	1.601	1.07	1.50	Cibicidoides wuellerstorfi	3616	LearRosenthalWrightEdit03
ODP0926	50.170	1.601	1.46	1.65	Oridorsalis umbonatus	3616	LearRosenthalWrightEdit03
ODP0926	51.670	1.664	1.44	1.62	Oridorsalis umbonatus	3617	LearRosenthalWrightEdit03
ODP0926	53.920	1.739	1.38	1.56	Oridorsalis umbonatus	3617	LearRosenthalWrightEdit03
ODP0926	58.610	1.890	1.33	1.66	Cibicidoides mundulus	3619	LearRosenthalWrightEdit03
ODP0926	58.610	1.890	1.96	2.14	Oridorsalis umbonatus	3619	LearRosenthalWrightEdit03
ODP0806	44.660	1.924	1.51	1.56	Oridorsalis umbonatus	2548	LearRosenthalWright03
ODP0806	44.660	1.924	1.31	1.65	Cibicidoides wuellerstorfi	2548	LearRosenthalWright03
DSDP573	30.400	2.117	1.18	1.62	Cibicidoides mundulus	4266	LearElderfieldOthers00
ODP0806	51.220	2.200	1.49	1.54	Oridorsalis umbonatus	2552	LearRosenthalWright03
ODP0806	51.220	2.200	1.17	1.47	Cibicidoides wuellerstorfi	2552	LearRosenthalWright03
ODP0926	67.600	2.251	1.41	1.59	Oridorsalis umbonatus	3622	LearRosenthalWrightEdit03
ODP0926	67.600	2.251	1.30	1.83	Cibicidoides wuellerstorfi	3622	LearRosenthalWrightEdit03
ODP0806	57.660	2.472	1.33	1.68	Cibicidoides wuellerstorfi	2556	LearRosenthalWright03
ODP0806	57.660	2.472	1.45	1.50	Oridorsalis umbonatus	2556	LearRosenthalWright03
ODP0926	77.170	2.593	1.31	1.85	Cibicidoides wuellerstorfi	3625	LearRosenthalWrightEdit03
ODP0926	77.170	2.593	1.65	1.84	Oridorsalis umbonatus	3625	LearRosenthalWrightEdit03
ODP0806	64.270	2.757	1.58	1.63	Oridorsalis umbonatus	2560	LearRosenthalWright03
ODP0806	64.270	2.757	1.31	1.66	Cibicidoides wuellerstorfi	2560	LearRosenthalWright03
ODP0926	86.620	2.805	1.50	1.68	Oridorsalis umbonatus	3629	LearRosenthalWrightEdit03
ODP0926	86.620	2.805	1.35	1.90	Cibicidoides wuellerstorfi	3629	LearRosenthalWrightEdit03
ODP0926	95.590	3.072	1.26	1.77	Cibicidoides wuellerstorfi	3632	LearRosenthalWrightEdit03
ODP0926	95.590	3.072	1.64	1.83	Oridorsalis umbonatus	3632	LearRosenthalWrightEdit03
ODP0806	72.960	3.132	1.52	1.95	Cibicidoides wuellerstorfi	2565	LearRosenthalWright03
ODP0806	72.960	3.132	1.71	1.76	Oridorsalis umbonatus	2565	LearRosenthalWright03
ODP0926	105.130	3.365	1.62	1.81	Oridorsalis umbonatus	3636	LearRosenthalWrightEdit03
ODP0926	105.130	3.365	1.25	1.76	Cibicidoides wuellerstorfi	3636	LearRosenthalWrightEdit03
ODP0806	79.680	3.439	1.33	1.68	Cibicidoides wuellerstorfi	2569	LearRosenthalWright03
ODP0806	79.680	3.439	1.53	1.58	Oridorsalis umbonatus	2569	LearRosenthalWright03
ODP0926	108.130	3.458	1.71	1.90	Oridorsalis umbonatus	3637	LearRosenthalWrightEdit03
ODP0926	108.130	3.458	1.25	1.76	Cibicidoides wuellerstorfi	3637	LearRosenthalWrightEdit03
ODP0806	86.200	3.720	1.39	1.77	Cibicidoides wuellerstorfi	2573	LearRosenthalWright03
ODP0806	86.200	3.720	1.73	1.78	Oridorsalis umbonatus	2573	LearRosenthalWright03
ODP0926	116.440	3.726	1.34	1.89	Cibicidoides wuellerstorfi	3639	LearRosenthalWrightEdit03
ODP0926	116.440	3.726	1.47	1.66	Oridorsalis umbonatus	3639	LearRosenthalWrightEdit03
ODP0806	101.660	3.792	1.57	1.62	Oridorsalis umbonatus	2583	LearRosenthalWright03
ODP0806	101.660	3.792	1.45	1.85	Cibicidoides wuellerstorfi	2583	LearRosenthalWright03
ODP0806	108.160	3.954	1.73	1.78	Oridorsalis umbonatus	2588	LearRosenthalWright03
ODP0806	108.160	3.954	1.39	1.77	Cibicidoides wuellerstorfi	2588	LearRosenthalWright03
ODP0806	92.660	3.992	1.50	1.92	Cibicidoides wuellerstorfi	2577	LearRosenthalWright03
ODP0806	92.660	3.992	1.69	1.74	Oridorsalis umbonatus	2577	LearRosenthalWright03
ODP0926	125.730	4.014	1.57	1.76	Oridorsalis umbonatus	3643	LearRosenthalWrightEdit03
ODP0926	125.730	4.014	1.27	1.79	Cibicidoides wuellerstorfi	3643	LearRosenthalWrightEdit03
ODP0806	120.560	4.260	1.49	1.91	Cibicidoides wuellerstorfi	2595	LearRosenthalWright03
ODP0806	120.560	4.260	1.82	1.87	Oridorsalis umbonatus	2595	LearRosenthalWright03
DSDP573	57.000	4.262	0.68	1.72	Nuttallides umbonifera	4224	LearElderfieldOthers00
DSDP573	57.000	4.262	0.50	1.52	Nuttallides umbonifera	4224	LearElderfieldOthers00
ODP0926	135.890	4.330	1.65	1.84	Oridorsalis umbonatus	3646	LearRosenthalWrightEdit03
ODP0926	135.890	4.330	1.15	1.62	Cibicidoides wuellerstorfi	3646	LearRosenthalWrightEdit03
ODP0806	124.280	4.363	1.66	1.91	Cibicidoides mundulus	2598	LearRosenthalWright03
ODP0806	124.280	4.363	1.74	1.80	Oridorsalis umbonatus	2598	LearRosenthalWright03
ODP0926	141.370	4.515	1.83	2.28	Cibicidoides mundulus	3648	LearRosenthalWrightEdit03
ODP0926	141.370	4.515	1.68	1.87	Oridorsalis umbonatus	3648	LearRosenthalWrightEdit03
ODP0806	133.660	4.617	1.62	1.86	Cibicidoides mundulus	2604	LearRosenthalWright03
ODP0806	133.660	4.617	1.55	2.00	Cibicidoides wuellerstorfi	2604	LearRosenthalWright03
ODP0806	133.660	4.617	1.89	1.95	Oridorsalis umbonatus	2604	LearRosenthalWright03
ODP0806	133.660	4.617	1.24	2.08	Nuttallides umbonifera	2604	LearRosenthalWright03
ODP0926	147.890	4.791	1.41	1.98	Cibicidoides wuellerstorfi	3649	LearRosenthalWrightEdit03
ODP0926	147.890	4.791	1.78	1.97	Oridorsalis umbonatus	3649	LearRosenthalWrightEdit03
ODP0806	143.160	4.867	2.02	2.08	Oridorsalis umbonatus	2609	LearRosenthalWright03
ODP0806	143.160	4.867	1.51	1.94	Cibicidoides wuellerstorfi	2609	LearRosenthalWright03
ODP0806	143.160	4.867	1.84	2.13	Cibicidoides mundulus	2609	LearRosenthalWright03
DSDP573	66.510	4.896	0.73	1.77	Nuttallides umbonifera	4212	LearElderfieldOthers00
DSDP573	66.510	4.896			Cibicidoides wuellerstorfi	4212	LearElderfieldOthers00
ODP0926	153.940	5.003	1.08	2.05	Nuttallides umbonifera	3651	LearRosenthalWrightEdit03
ODP0926	153.940	5.003	1.69	1.88	Oridorsalis umbonatus	3651	LearRosenthalWrightEdit03
ODP0926	156.150	5.099	1.32	1.87	Cibicidoides wuellerstorfi	3652	LearRosenthalWrightEdit03
ODP0926	156.150	5.099	1.71	1.90	Oridorsalis umbonatus	3652	LearRosenthalWrightEdit03
ODP0806	152.660	5.103	1.64	1.89	Cibicidoides mundulus	2615	LearRosenthalWright03
ODP0806	152.660	5.103	1.62	2.09	Cibicidoides wuellerstorfi	2615	LearRosenthalWright03
ODP0806	152.660	5.103	1.45	1.87	Cibicidoides wuellerstorfi	2615	LearRosenthalWright03
ODP0806	152.660	5.103			Cibicidoides mundulus	2615	LearRosenthalWright03
ODP0806	152.660	5.103	1.89	1.95	Oridorsalis umbonatus	2615	LearRosenthalWright03
ODP0806	152.660	5.103	2.02	2.08	Oridorsalis umbonatus	2615	LearRosenthalWright03
ODP0926	157.040	5.136	1.77	1.96	Oridorsalis umbonatus	3652	LearRosenthalWrightEdit03
ODP0926	157.040	5.136	1.47	1.84	Cibicidoides mundulus	3652	LearRosenthalWrightEdit03
ODP0926	158.430	5.198	1.98	2.17	Oridorsalis umbonatus	3652	LearRosenthalWrightEdit03
ODP0926	158.430	5.198	1.38	1.95	Cibicidoides wuellerstorfi	3652	LearRosenthalWrightEdit03
ODP0926	158.430	5.198	1.75	2.18	Cibicidoides mundulus	3652	LearRosenthalWrightEdit03
ODP0926	158.430	5.198			Cibicidoides bradyi	3652	LearRosenthalWrightEdit03
ODP0926	160.730	5.306	1.59	1.99	Cibicidoides mundulus	3652	LearRosenthalWrightEdit03
ODP0926	160.730	5.306	1.40	1.97	Cibicidoides wuellerstorfi	3652	LearRosenthalWrightEdit03
ODP0926	160.730	5.306	1.72	1.91	Oridorsalis umbonatus	3652	LearRosenthalWrightEdit03
ODP0806	162.160	5.359	1.42	1.82	Cibicidoides wuellerstorfi	2621	LearRosenthalWright03
ODP0806	162.160	5.359	2.13	2.19	Oridorsalis umbonatus	2621	LearRosenthalWright03
ODP0806	162.160	5.359	1.76	2.04	Cibicidoides mundulus	2621	LearRosenthalWright03
ODP0926	162.830	5.417	1.86	2.05	Oridorsalis umbonatus	3653	LearRosenthalWrightEdit03
ODP0926	164.910	5.527	1.54	2.17	Cibicidoides wuellerstorfi	3653	LearRosenthalWrightEdit03
ODP0926	164.910	5.527	1.75	1.94	Oridorsalis umbonatus	3653	LearRosenthalWrightEdit03
ODP0926	167.110	5.642	1.61	2.01	Cibicidoides mundulus	3653	LearRosenthalWrightEdit03
ODP0926	167.110	5.642	1.49	2.10	Cibicidoides wuellerstorfi	3653	LearRosenthalWrightEdit03
ODP0806	171.660	5.658	1.40	1.80	Cibicidoides wuellerstorfi	2627	LearRosenthalWright03
ODP0806	171.660	5.658	1.46	1.68	Cibicidoides mundulus	2627	LearRosenthalWright03
ODP0926	169.210	5.754	0.76	1.70	Nuttallides umbonifera	3653	LearRosenthalWrightEdit03
ODP0926	171.540	5.867	1.57	1.96	Cibicidoides mundulus	3654	LearRosenthalWrightEdit03
ODP0926	171.540	5.867	1.79	1.98	Oridorsalis umbonatus	3654	LearRosenthalWrightEdit03
ODP0926	171.540	5.867	1.22	1.72	Cibicidoides wuellerstorfi	3654	LearRosenthalWrightEdit03
ODP0806	181.160	5.958	1.52	1.96	Cibicidoides wuellerstorfi	2633	LearRosenthalWright03
ODP0806	181.160	5.958	2.02	2.08	Oridorsalis umbonatus	2633	LearRosenthalWright03
ODP0806	181.160	5.958	1.53	1.98	Cibicidoides wuellerstorfi	2633	LearRosenthalWright03
ODP0806	181.160	5.958	1.68	1.94	Cibicidoides mundulus	2633	LearRosenthalWright03
ODP0926	173.940	5.979	1.51	1.70	Oridorsalis umbonatus	3654	LearRosenthalWrightEdit03
ODP0926	173.940	5.979	1.21	1.71	Cibicidoides wuellerstorfi	3654	LearRosenthalWrightEdit03
ODP0926	173.940	5.979			Melonis barleeanus	3654	LearRosenthalWrightEdit03
ODP0926	173.940	5.979	0.90	1.85	Nuttallides umbonifera	3654	LearRosenthalWrightEdit03
ODP0926	175.930	6.072	1.27	1.80	Cibicidoides wuellerstorfi	3654	LearRosenthalWrightEdit03
ODP0926	175.930	6.072	1.82	2.01	Oridorsalis umbonatus	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083	1.77	1.96	Oridorsalis umbonatus	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083	1.59	1.78	Oridorsalis umbonatus	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083			Gyroidina soldanii	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083			Pullenia bulloides	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083			Melonis pompilioides	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083			Cibicidoides bradyi	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083	0.96	1.92	Nuttallides umbonifera	3654	LearRosenthalWrightEdit03
ODP0926	176.190	6.083	0.96	1.91	Nuttallides umbonifera	3654	LearRosenthalWrightEdit03
ODP0926	177.350	6.134			Melonis barleeanus	3655	LearRosenthalWrightEdit03
ODP0926	177.350	6.134	1.20	1.70	Cibicidoides wuellerstorfi	3655	LearRosenthalWrightEdit03
ODP0926	177.930	6.157	0.98	1.94	Nuttallides umbonifera	3655	LearRosenthalWrightEdit03
ODP0926	177.930	6.157	1.89	2.08	Oridorsalis umbonatus	3655	LearRosenthalWrightEdit03
ODP0926	177.930	6.157	1.57	1.96	Cibicidoides mundulus	3655	LearRosenthalWrightEdit03
ODP0926	177.930	6.157	1.27	1.79	Cibicidoides wuellerstorfi	3655	LearRosenthalWrightEdit03
ODP0806	190.660	6.193	1.94	2.00	Oridorsalis umbonatus	2639	LearRosenthalWright03
ODP0806	190.660	6.193	1.65	2.14	Cibicidoides wuellerstorfi	2639	LearRosenthalWright03
ODP0806	190.660	6.193	1.63	1.88	Cibicidoides mundulus	2639	LearRosenthalWright03
DSDP573	85.660	6.240	0.64	1.66	Nuttallides umbonifera	4185	LearElderfieldOthers00
DSDP573	85.660	6.240			Cibicidoides wuellerstorfi	4185	LearElderfieldOthers00
ODP0926	179.690	6.241	1.71	1.90	Oridorsalis umbonatus	3655	LearRosenthalWrightEdit03
ODP0926	179.690	6.241	1.22	2.20	Nuttallides umbonifera	3655	LearRosenthalWrightEdit03
ODP0926	179.690	6.241	1.45	1.82	Cibicidoides mundulus	3655	LearRosenthalWrightEdit03
ODP0926	179.690	6.241	1.24	1.75	Cibicidoides wuellerstorfi	3655	LearRosenthalWrightEdit03
ODP0926	181.310	6.366	1.33	1.68	Cibicidoides mundulus	3655	LearRosenthalWrightEdit03
ODP0926	181.310	6.366	1.63	1.82	Oridorsalis umbonatus	3655	LearRosenthalWrightEdit03
ODP0926	181.310	6.366	1.00	1.42	Cibicidoides wuellerstorfi	3655	LearRosenthalWrightEdit03
ODP0926	181.310	6.366	0.80	1.74	Nuttallides umbonifera	3655	LearRosenthalWrightEdit03
ODP0926	181.310	6.366	0.79	1.73	Nuttallides umbonifera	3655	LearRosenthalWrightEdit03
ODP0806	200.160	6.477	1.54	1.99	Cibicidoides wuellerstorfi	2645	LearRosenthalWright03
ODP0806	200.160	6.477	1.76	2.03	Cibicidoides mundulus	2645	LearRosenthalWright03
ODP0806	200.160	6.477	1.96	2.02	Oridorsalis umbonatus	2645	LearRosenthalWright03
ODP0926	183.210	6.477	1.69	1.88	Oridorsalis umbonatus	3655	LearRosenthalWrightEdit03
ODP0926	183.210	6.477	1.23	1.74	Cibicidoides wuellerstorfi	3655	LearRosenthalWrightEdit03
ODP0926	183.210	6.477	0.86	1.81	Nuttallides umbonifera	3655	LearRosenthalWrightEdit03
ODP0926	185.110	6.569	1.78	1.97	Oridorsalis umbonatus	3655	LearElderfieldOthers00
ODP0926	185.110	6.569	1.59	1.99	Cibicidoides mundulus	3655	LearElderfieldOthers00
ODP0926	185.110	6.569	1.19	1.68	Cibicidoides wuellerstorfi	3655	LearElderfieldOthers00
DSDP573	94.900	6.620	0.67	1.70	Nuttallides umbonifera	4180	LearElderfieldOthers00
ODP0926	186.910	6.664	0.91	1.86	Nuttallides umbonifera	3655	LearRosenthalWrightEdit03
ODP0926	186.910	6.664	1.76	1.95	Oridorsalis umbonatus	3655	LearRosenthalWrightEdit03
ODP0926	186.910	6.664	1.25	1.76	Cibicidoides wuellerstorfi	3655	LearRosenthalWrightEdit03
ODP0926	189.060	6.754	1.40	1.98	Cibicidoides wuellerstorfi	3656	LearRosenthalWrightEdit03
ODP0926	190.710	6.851	1.56	1.75	Oridorsalis umbonatus	3656	LearElderfieldOthers00
ODP0926	190.710	6.851	0.82	1.76	Nuttallides umbonifera	3656	LearElderfieldOthers00
ODP0926	190.710	6.851	1.60	2.25	Cibicidoides wuellerstorfi	3656	LearElderfieldOthers00
DSDP573	104.060	6.911	0.68	1.71	Nuttallides umbonifera	4177	LearElderfieldOthers00
ODP0926	192.210	6.951	0.84	1.78	Nuttallides umbonifera	3656	LearRosenthalWrightEdit03
ODP0926	192.210	6.951	1.77	1.96	Oridorsalis umbonatus	3656	LearRosenthalWrightEdit03
ODP0926	192.210	6.951	1.20	1.69	Cibicidoides wuellerstorfi	3656	LearRosenthalWrightEdit03
ODP0806	219.160	6.984	1.94	2.00	Oridorsalis umbonatus	2657	LearRosenthalWright03
ODP0806	219.160	6.984	1.55	2.01	Cibicidoides wuellerstorfi	2657	LearRosenthalWright03
ODP0806	219.160	6.984	1.54	1.77	Cibicidoides mundulus	2657	LearRosenthalWright03
ODP0926	193.910	7.046	1.59	1.78	Oridorsalis umbonatus	3656	LearRosenthalWrightEdit03
ODP0926	193.910	7.046			Pullenia bulloides	3656	LearRosenthalWrightEdit03
ODP0926	195.310	7.142			Pullenia bulloides	3656	LearRosenthalWrightEdit03
ODP0926	195.310	7.142	1.52	1.71	Oridorsalis umbonatus	3656	LearRosenthalWrightEdit03
ODP0926	195.310	7.142	1.21	1.71	Cibicidoides wuellerstorfi	3656	LearRosenthalWrightEdit03
ODP0806	228.660	7.188	1.86	1.93	Oridorsalis umbonatus	2663	LearRosenthalWright03
ODP0806	228.660	7.188	1.63	2.12	Cibicidoides wuellerstorfi	2663	LearRosenthalWright03
ODP0806	228.660	7.188	1.75	2.03	Cibicidoides mundulus	2663	LearRosenthalWright03
ODP0926	196.510	7.213	1.68	1.87	Oridorsalis umbonatus	3656	LearRosenthalWrightEdit03
ODP0926	196.510	7.213	1.16	1.64	Cibicidoides wuellerstorfi	3656	LearRosenthalWrightEdit03
ODP0926	196.510	7.213			Pullenia bulloides	3656	LearRosenthalWrightEdit03
ODP0926	196.510	7.213	0.91	1.86	Nuttallides umbonifera	3656	LearRosenthalWrightEdit03
ODP0926	197.510	7.284	1.64	1.83	Oridorsalis umbonatus	3655	LearElderfieldOthers00
ODP0926	197.510	7.284	0.87	1.82	Nuttallides umbonifera	3655	LearElderfieldOthers00
ODP0926	197.510	7.284	1.47	1.85	Cibicidoides mundulus	3655	LearElderfieldOthers00
ODP0926	197.510	7.284	1.10	1.55	Cibicidoides wuellerstorfi	3655	LearElderfieldOthers00
ODP0806	238.160	7.392	1.68	2.19	Cibicidoides wuellerstorfi	2669	LearRosenthalWright03
