Site	Sample depth	Age	Mg/Ca	Mg/Ca adj.	Taxa	Paleodepth	Reference	
DSDP607	7.800	0.183	1.27	1.75	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
DSDP607	7.900	0.188	1.44	1.98	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
DSDP607	8.000	0.191	1.48	2.04	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
ODP0926	7.400	0.192	1.01	1.42	Cibicidoides wuellerstorfi	3601	LearRosenthalWright03
ODP0926	7.400	0.192	1.14	1.32	Oridorsalis umbonatus	3601	LearRosenthalWright03
DSDP607	8.100	0.194	1.37	1.89	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
DSDP607	8.200	0.197	1.20	1.65	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
ODP0747		0.197	1.48	1.79	Cibicidoides wuellerstorfi	1695	BillupsSchrag02
DSDP607	8.300	0.200	1.48	2.04	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
DSDP607	8.400	0.206	1.31	1.80	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
ODP0806	4.820	0.208	1.05	1.28	Cibicidoides wuellerstorfi	2524	LearRosenthalWright03
ODP0806	4.820	0.208	1.26	1.31	Oridorsalis umbonatus	2524	LearRosenthalWright03
DSDP607	8.600	0.211	1.25	1.72	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
DSDP573	1.900	0.225	0.86	1.25	Cibicidoides mundulus	4297	LearElderfieldOthers00
DSDP573	1.900	0.225	0.69	1.14	Cibicidoides wuellerstorfi	4297	LearElderfieldOthers00
DSDP607	8.900	0.226	1.44	1.98	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
DSDP607	9.000	0.235	1.46	2.01	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	9.200	0.243	1.37	1.89	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0747		0.243	1.45	1.75	Cibicidoides wuellerstorfi	1696	BillupsSchrag02
ODP0806	5.720	0.247	1.27	1.32	Oridorsalis umbonatus	2524	LearRosenthalWright03
ODP0806	5.720	0.247	1.08	1.33	Cibicidoides wuellerstorfi	2524	LearRosenthalWright03
DSDP607	9.300	0.249	1.60	2.21	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP1088	2.590	0.253			Cibicidoides wuellerstorfi	2083	BillupsScheiderich10
DSDP607	9.600	0.255	1.60	2.21	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	9.800	0.258	1.45	2.00	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0757	1.730	0.260	1.85	2.31	Cibicidoides wuellerstorfi	1647	BillupsSchrag03
ODP0757	1.730	0.260	1.98	2.49	Cibicidoides wuellerstorfi	1647	BillupsSchrag03
ODP0757	1.730	0.260	2.67	3.03	Cibicidoides mundulus	1647	BillupsSchrag03
ODP0757	1.730	0.260	1.68	1.84	Cibicidoides mundulus	1647	BillupsSchrag03
DSDP607	10.100	0.264	0.94	1.28	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0806	6.200	0.268	1.06	1.30	Cibicidoides wuellerstorfi	2525	LearRosenthalWright03
ODP0806	6.200	0.268	1.33	1.38	Oridorsalis umbonatus	2525	LearRosenthalWright03
DSDP607	10.500	0.270	1.19	1.63	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	10.700	0.273	1.29	1.77	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0926	10.400	0.273	0.89	1.25	Cibicidoides wuellerstorfi	3602	LearRosenthalWright03
ODP0926	10.400	0.273	1.06	1.25	Oridorsalis umbonatus	3602	LearRosenthalWright03
DSDP607	10.800	0.275	1.07	1.47	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	11.000	0.277	1.31	1.80	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	11.100	0.279	1.42	1.96	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	11.300	0.282	1.57	2.17	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	11.400	0.285	1.53	2.11	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	11.700	0.292	1.03	1.41	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	12.000	0.299	0.93	1.27	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	12.100	0.301	1.08	1.48	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0806	7.000	0.303	1.42	1.47	Oridorsalis umbonatus	2525	LearRosenthalWright03
ODP0806	7.000	0.303	1.28	1.60	Cibicidoides wuellerstorfi	2525	LearRosenthalWright03
DSDP607	12.500	0.313	1.08	1.48	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	12.600	0.317	1.29	1.77	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0747		0.318	1.24	1.46	Cibicidoides wuellerstorfi	1696	BillupsSchrag02
DSDP607	12.900	0.325	1.59	2.19	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	13.100	0.329	1.30	1.79	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	13.200	0.332	1.47	2.03	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP1088	3.340	0.339	2.33	3.02	Cibicidoides wuellerstorfi	2083	BillupsScheiderich10
DSDP607	13.700	0.343	1.14	1.56	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
ODP0926	12.650	0.346	1.08	1.52	Cibicidoides wuellerstorfi	3603	LearRosenthalWright03
ODP0926	12.650	0.346	1.27	1.45	Oridorsalis umbonatus	3603	LearRosenthalWright03
DSDP607	13.800	0.347	1.05	1.44	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	14.000	0.350	1.22	1.68	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	14.200	0.353	1.29	1.77	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	14.400	0.358	1.44	1.98	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	14.600	0.360	0.92	1.26	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	14.700	0.362	1.11	1.52	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	14.800	0.364	1.03	1.41	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	15.100	0.368	1.33	1.83	Cibicidoides wuellerstorfi	3424	SosdianRosenthal09
DSDP607	15.200	0.372	1.19	1.63	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP0747		0.374	1.88	2.35	Cibicidoides wuellerstorfi	1696	BillupsSchrag02
DSDP607	15.300	0.375	1.05	1.44	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	15.500	0.379	1.29	1.77	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	15.600	0.383	1.22	1.68	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	15.700	0.386	1.38	1.90	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.000	0.392	1.11	1.52	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.100	0.394	1.33	1.83	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.200	0.397	1.25	1.72	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.300	0.400	1.32	1.82	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.500	0.402	1.38	1.90	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.600	0.406	1.40	1.93	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	16.800	0.411	1.53	2.11	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	17.100	0.417	1.65	2.28	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP0926	14.900	0.418	0.99	1.40	Cibicidoides wuellerstorfi	3604	LearRosenthalWright03
ODP0926	14.900	0.418	1.42	1.60	Oridorsalis umbonatus	3604	LearRosenthalWright03
ODP0926	14.900	0.418			Gyroidina soldanii	3604	LearRosenthalWright03
DSDP607	17.200	0.420	1.68	2.32	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	17.300	0.423	1.58	2.18	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP1088	4.090	0.425	1.97	2.52	Cibicidoides wuellerstorfi	2083	BillupsScheiderich10
DSDP607	17.600	0.428	1.27	1.75	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	17.700	0.431	1.27	1.75	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	17.900	0.433	1.13	1.55	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	18.100	0.437	1.19	1.63	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	18.200	0.439	1.34	1.84	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	18.400	0.442	1.20	1.65	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP0926	15.690	0.444	1.20	1.38	Oridorsalis umbonatus	3604	LearRosenthalWright03
ODP0926	15.690	0.444			Gyroidina soldanii	3604	LearRosenthalWright03
ODP0926	15.690	0.444	1.09	1.53	Cibicidoides wuellerstorfi	3604	LearRosenthalWright03
DSDP607	18.500	0.445	1.27	1.75	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	18.600	0.449	1.10	1.51	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP0747		0.450	1.39	1.67	Cibicidoides wuellerstorfi	1696	BillupsSchrag02
DSDP607	18.800	0.454	1.11	1.52	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	18.900	0.459	1.20	1.65	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP0806	10.640	0.460	1.19	1.49	Cibicidoides wuellerstorfi	2527	LearRosenthalWright03
ODP0806	10.640	0.460	1.35	1.40	Oridorsalis umbonatus	2527	LearRosenthalWright03
DSDP607	19.000	0.462	1.22	1.68	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	19.100	0.466	1.25	1.72	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	19.200	0.466	1.14	1.56	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	19.500	0.472	1.03	1.41	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	19.600	0.475	1.23	1.69	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
DSDP607	19.800	0.481	1.23	1.69	Cibicidoides wuellerstorfi	3423	SosdianRosenthal09
ODP1088	4.840	0.487			Cibicidoides wuellerstorfi	2083	BillupsScheiderich10
DSDP607	19.900	0.488	1.21	1.66	Cibicidoides wuellerstorfi	3422	SosdianRosenthal09
ODP0757	3.230	0.491	2.28	2.56	Cibicidoides wuellerstorfi/Cibicidoides mundulus	1644	BillupsSchrag03
DSDP607	20.100	0.497	1.24	1.70	Cibicidoides wuellerstorfi	3422	SosdianRosenthal09
ODP0926	17.940	0.506	1.36	1.55	Oridorsalis umbonatus	3605	LearRosenthalWright03
ODP0926	17.940	0.506	1.27	1.78	Cibicidoides wuellerstorfi	3605	LearRosenthalWright03
DSDP607	20.200	0.507	1.28	1.76	Cibicidoides wuellerstorfi	3422	SosdianRosenthal09
ODP0926	18.690	0.526	1.04	1.46	Cibicidoides wuellerstorfi	3606	LearRosenthalWright03
ODP0926	18.690	0.526	1.28	1.46	Oridorsalis umbonatus	3606	LearRosenthalWright03
DSDP607	20.500	0.527	1.39	1.91	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
ODP1088	5.500	0.528			Cibicidoides wuellerstorfi	2084	BillupsScheiderich10
ODP1088	5.590	0.534	2.30	2.98	Cibicidoides wuellerstorfi	2084	BillupsScheiderich10
DSDP607	20.700	0.536	1.23	1.69	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
DSDP607	21.000	0.549	1.31	1.80	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
ODP1088	5.840	0.550			Cibicidoides wuellerstorfi	2084	BillupsScheiderich10
DSDP607	21.300	0.561	1.25	1.72	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
DSDP607	21.400	0.571	1.24	1.70	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	21.600	0.578	1.31	1.80	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	21.700	0.584	1.45	2.00	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP0926	20.940	0.585	1.03	1.45	Cibicidoides wuellerstorfi	3606	LearRosenthalWright03
ODP0926	20.940	0.585	1.23	1.41	Oridorsalis umbonatus	3606	LearRosenthalWright03
DSDP607	21.800	0.589	1.49	2.05	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	21.900	0.590	1.55	2.14	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP1088	6.590	0.596			Cibicidoides wuellerstorfi	2084	BillupsScheiderich10
DSDP607	22.100	0.598	1.57	2.17	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.200	0.599	1.47	2.03	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.300	0.602	1.26	1.73	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.300	0.602	1.53	2.11	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.400	0.604	1.64	2.26	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.400	0.604	1.36	1.87	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.600	0.606	1.36	1.87	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	22.700	0.608	1.46	2.01	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	23.000	0.610	1.77	2.45	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	23.200	0.612	1.55	2.14	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	23.400	0.613	1.43	1.97	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	23.500	0.614	1.52	2.10	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	23.600	0.615	1.52	2.10	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	23.800	0.616	1.30	1.79	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	24.100	0.619	1.84	2.54	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	24.200	0.620	1.63	2.25	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP0806	14.400	0.622	1.16	1.45	Cibicidoides wuellerstorfi	2530	LearRosenthalWright03
ODP0806	14.400	0.622	1.49	1.54	Oridorsalis umbonatus	2530	LearRosenthalWright03
DSDP607	24.700	0.625	1.66	2.29	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	24.800	0.627	1.32	1.82	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	25.100	0.631	1.22	1.68	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	25.300	0.633	1.30	1.79	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
DSDP607	25.600	0.638	1.12	1.54	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
ODP1088	7.340	0.643			Cibicidoides wuellerstorfi	2084	BillupsScheiderich10
DSDP607	25.900	0.644	1.15	1.58	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
ODP0926	23.190	0.645	1.47	1.65	Oridorsalis umbonatus	3607	LearRosenthalWright03
ODP0926	23.190	0.645	1.14	1.61	Cibicidoides wuellerstorfi	3607	LearRosenthalWright03
DSDP607	26.100	0.646	1.11	1.52	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
DSDP607	26.200	0.649	1.25	1.72	Cibicidoides wuellerstorfi	3421	SosdianRosenthal09
ODP0747		0.656	1.68	2.07	Cibicidoides wuellerstorfi	1696	BillupsSchrag02
DSDP607	26.600	0.658	1.18	1.62	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	26.800	0.661	1.09	1.49	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	27.100	0.670	1.16	1.59	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	27.200	0.674	1.18	1.62	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	27.500	0.682	1.27	1.75	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	27.700	0.685	1.27	1.75	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	27.800	0.688	1.33	1.83	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP1088	8.090	0.689	2.03	2.60	Cibicidoides wuellerstorfi	2085	BillupsScheiderich10
DSDP607	28.000	0.691	1.53	2.11	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	28.100	0.694	1.56	2.15	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	28.300	0.698	1.69	2.33	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	28.600	0.704	1.43	1.97	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	28.700	0.707	1.71	2.36	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	28.900	0.711	1.16	1.59	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	29.000	0.715	1.17	1.61	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	29.200	0.719	1.20	1.65	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	29.500	0.725	1.27	1.75	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	29.600	0.728	1.44	1.98	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	29.800	0.731	1.50	2.07	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	29.900	0.734	1.50	2.07	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP1088	8.840	0.736			Cibicidoides wuellerstorfi	2085	BillupsScheiderich10
ODP0926	26.680	0.737	0.92	1.29	Cibicidoides wuellerstorfi	3609	LearRosenthalWright03
ODP0926	26.680	0.737	1.23	1.41	Oridorsalis umbonatus	3609	LearRosenthalWright03
DSDP607	30.100	0.738	1.39	1.91	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	30.200	0.741	1.44	1.98	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP0806	17.150	0.741	1.24	1.56	Cibicidoides wuellerstorfi	2531	LearRosenthalWright03
ODP0806	17.150	0.741	1.34	1.39	Oridorsalis umbonatus	2531	LearRosenthalWright03
DSDP607	30.600	0.747	1.09	1.49	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP0747		0.752	1.02	1.15	Cibicidoides wuellerstorfi	1697	BillupsSchrag02
DSDP607	30.800	0.753	1.17	1.61	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	31.000	0.757	1.22	1.68	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
DSDP607	31.100	0.762	1.19	1.63	Cibicidoides wuellerstorfi	3420	SosdianRosenthal09
ODP0757	4.900	0.771			Cibicidoides wuellerstorfi/Cibicidoides mundulus	1641	BillupsSchrag03
ODP0757	4.900	0.771	2.21	2.47	Cibicidoides wuellerstorfi/Cibicidoides mundulus	1641	BillupsSchrag03
DSDP607	31.600	0.775	1.44	1.98	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	31.800	0.782	1.61	2.22	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
ODP1088	9.590	0.783	2.33	3.02	Cibicidoides wuellerstorfi	2085	BillupsScheiderich10
DSDP607	32.000	0.786	1.66	2.29	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	32.100	0.789	1.51	2.08	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	32.300	0.794	1.16	1.59	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	32.600	0.802	1.27	1.75	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	32.700	0.805	1.17	1.61	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	33.000	0.812	1.21	1.66	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP573	11.470	0.815	0.46	1.49	Nuttallides umbonifera	4288	LearElderfieldOthers00
DSDP607	33.300	0.822	1.30	1.79	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
DSDP607	33.500	0.827	1.29	1.77	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
ODP1088	10.340	0.829			Cibicidoides wuellerstorfi	2086	BillupsScheiderich10
DSDP607	33.600	0.833	1.49	2.05	Cibicidoides wuellerstorfi	3419	SosdianRosenthal09
ODP0806	19.430	0.839	1.52	1.57	Oridorsalis umbonatus	2533	LearRosenthalWright03
ODP0806	19.430	0.839	1.24	1.56	Cibicidoides wuellerstorfi	2533	LearRosenthalWright03
DSDP607	33.900	0.845	1.38	1.90	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	34.100	0.851	1.26	1.73	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
ODP0926	31.180	0.856	0.80	1.13	Cibicidoides wuellerstorfi	3611	LearRosenthalWright03
ODP0926	31.180	0.856	1.08	1.26	Oridorsalis umbonatus	3611	LearRosenthalWright03
DSDP607	34.400	0.863	1.27	1.75	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	34.700	0.869	1.65	2.28	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	34.800	0.873	1.25	1.72	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
ODP1088	11.090	0.876	2.00	2.56	Cibicidoides wuellerstorfi	2086	BillupsScheiderich10
DSDP607	35.100	0.881	1.26	1.73	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	35.400	0.888	1.06	1.45	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	36.000	0.902	1.64	2.26	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	36.300	0.908	1.36	1.87	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	36.500	0.911	1.35	1.86	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	36.600	0.913	1.45	2.00	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
ODP0926	33.430	0.915	1.03	1.45	Cibicidoides wuellerstorfi	3612	LearRosenthalWright03
ODP0926	33.430	0.915	1.75	1.94	Oridorsalis umbonatus	3612	LearRosenthalWright03
DSDP607	36.800	0.916	1.24	1.70	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
ODP1088	11.840	0.923	1.67	2.10	Cibicidoides wuellerstorfi	2086	BillupsScheiderich10
ODP0747		0.924	1.54	1.88	Cibicidoides wuellerstorfi	1697	BillupsSchrag02
DSDP607	37.200	0.925	1.08	1.48	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	37.400	0.928	1.07	1.47	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	37.600	0.932	1.16	1.59	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
ODP0806	21.630	0.932	1.25	1.57	Cibicidoides wuellerstorfi	2534	LearRosenthalWright03
ODP0806	21.630	0.932	1.55	1.60	Oridorsalis umbonatus	2534	LearRosenthalWright03
DSDP607	37.700	0.936	1.29	1.77	Cibicidoides wuellerstorfi	3417	SosdianRosenthal09
DSDP607	37.900	0.939	1.19	1.63	Cibicidoides wuellerstorfi	3418	SosdianRosenthal09
DSDP607	38.000	0.942	1.46	2.01	Cibicidoides wuellerstorfi	3417	SosdianRosenthal09
DSDP607	38.200	0.945	1.44	1.98	Cibicidoides wuellerstorfi	3417	SosdianRosenthal09
DSDP607	38.300	0.948	1.45	2.00	Cibicidoides wuellerstorfi	3417	SosdianRosenthal09
DSDP607	38.600	0.954	1.52	2.10	Cibicidoides wuellerstorfi	3417	SosdianRosenthal09
